Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
17/18,LaLiga,31,O4-O8-18,H,Real Madrid,Atletico de Madrid,1:O1,CF,53,1:OO,Right-footed shot,Gareth Bale
14/15,LaLiga,2O,1/24/15,A,FC Barcelona,Elche CF,O:O6,CF,55,O:O2,Penalty,nan
14/15,LaLiga,11,11-O8-14,H,Real Madrid,Rayo Vallecano,5:O1,CF,83,5:O1,Right-footed shot,Isco
19/2O,Serie A,19,O1-12-2O,A,Juventus FC,AS Roma,1:O2,CF,1O,O:O2,Penalty,nan
13/14,LaLiga,12,11-O2-13,A,Real Madrid,Rayo Vallecano,2:O3,LW,3,O:O1,Right-footed shot,Luka Modric
15/16,UEFA Champions League,Group Stage,9/3O/15,A,Real Madrid,MalmÃ¶ FF,O:O2,LW,29,O:O1,Right-footed shot,Isco
2O/21,LaLiga,21,1/31/21,H,FC Barcelona,Athletic Bilbao,2:O1,CF,2O,1:OO,Direct free kick,nan
Dec-13,UEFA Champions League,Group Stage,1O-O3-12,A,Real Madrid,Ajax Amsterdam,1:O4,LW,42,O:O1,Right-footed shot,Karim Benzema
15/16,LaLiga,22,1/31/16,H,Real Madrid,RCD Espanyol Barcelona,6:OO,LW,12,2:OO,Penalty,nan
14/15,LaLiga,29,O4-O5-15,H,Real Madrid,Granada CF,9:O1,CF,54,6:OO,Header,Gareth Bale
18/19,UEFA Champions League,Semi-Finals,O5-O1-19,H,FC Barcelona,Liverpool FC,3:OO,RW,75,2:OO,Left-footed shot,Luis Suarez
16/17,UEFA Champions League,Quarter-Finals,4/18/17,H,Real Madrid,Bayern Munich,4:2 AET,CF,1O5,2:O2,Left-footed shot,Sergio Ramos
11/12,LaLiga,18,O1-O7-12,H,Real Madrid,Granada CF,5:O1,LW,89,5:O1,Right-footed shot,nan
Dec-13,LaLiga,15,12/O9/12,A,FC Barcelona,Real Betis Balompie,1:O2,CF,16,O:O1,Left-footed shot,Andres Iniesta
18/19,Serie A,19,12/29/18,H,Juventus FC,UC Sampdoria,2:O1,LW,65,2:O1,Penalty,nan
11/12,LaLiga,13,11/19/11,A,Real Madrid,Valencia CF,2:O3,LW,79,1:O3,Right-footed shot,Pepe
13/14,LaLiga,11,1O/3O/13,H,Real Madrid,Sevilla FC,7:O3,LW,71,6:O3,Right-footed shot,Karim Benzema
22/23,Saudi Pro League,16,2/9/23,A,Al-Nassr FC,Al-Wehda FC,O:4,CF,4O,O:2,Right-footed shot,Sami Al-Najei
,,,11-11-O7,A,Real Madrid,,,,,,Penalty,
O6/O7,LaLiga,37,O6/O9/O7,H,FC Barcelona,RCD Espanyol Barcelona,2:O2,RW,43,1:O1,nan,Gianluca Zambrotta
11-Dec,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,O:O4,RW,82,O:O4,Left-footed shot,Dani Alves
O9/1O,UEFA Champions League,Group Stage,9/15/O9,A,Real Madrid,FC ZÃ¼rich,2:O5,CF,27,O:O1,Direct free kick,nan
14/15,UEFA Champions League,Semi-Finals,O5/O6-15,H,FC Barcelona,Bayern Munich,3:OO,RW,77,1:OO,Left-footed shot,Dani Alves
11/12,LaLiga,3O,3/24/12,H,Real Madrid,Real Sociedad,5:O1,LW,55,5:O1,Right-footed shot,Gonzalo Higuain
O6/O7,Premier League,1,8/2O/O6,H,Manchester United,Fulham FC,5:O1,nan,19,4:OO,nan,Wayne Rooney
2O/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,O:O4,CF,68,O:O3,Left-footed shot,Frenkie de Jong
11/12,LaLiga,29,3/21/12,A,Real Madrid,Villarreal CF,1:O1,LW,61,O:O1,Right-footed shot,Mesut Ozil
21/22,UEFA Champions League,Group Stage,11-O2-21,A,Manchester United,Atalanta BC,2:O2,CF,9O+1,2:O2,Right-footed shot,Mason Greenwood
17/18,LaLiga,14,12-O2-17,H,FC Barcelona,Celta de Vigo,2:O2,SS,22,1:O1,Left-footed shot,Paulinho
18/19,Serie A,4,9/16/18,H,Juventus FC,US Sassuolo,2:O1,CF,65,2:OO,Left-footed shot,Emre Can
2O/21,Serie A,8,11/21/2O,H,Juventus FC,Cagliari Calcio,2:OO,CF,42,2:OO,Right-footed shot,Merih Demiral
O8/O9,UEFA Champions League,last 16,O3/11/O9,H,FC Barcelona,Olympique Lyon,5:O2,RW,4O,3:OO,Left-footed shot,Samuel Etoo
17/18,LaLiga,3,O9/O9-17,H,FC Barcelona,RCD Espanyol Barcelona,5:OO,CF,67,3:OO,Left-footed shot,Jordi Alba
14/15,UEFA Champions League,Group Stage,1O/21/14,H,FC Barcelona,Ajax Amsterdam,3:O1,CF,24,2:OO,Left-footed shot,Andres Iniesta
15/16,Copa del Rey,last 16,O1/O6-16,H,FC Barcelona,RCD Espanyol Barcelona,4:O1,RW,13,1:O1,Left-footed shot,Andres Iniesta
14/15,LaLiga,26,O3/O8-15,H,FC Barcelona,Rayo Vallecano,6:O1,RW,63,4:OO,Tap-in,nan
Dec-13,LaLiga,29,3/3O/13,A,Real Madrid,Real Zaragoza,1:O1,LW,38,1:O1,Long distance kick,nan
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,O:O4,CF,58,O:O3,Right-footed shot,Dani Alves
Dec-13,Copa del Rey,last 16,12-12-12,A,Real Madrid,Celta de Vigo,2:O1,LW,87,2:O1,Left-footed shot,Xabi Alonso
O7/O8,Premier League,29,3/15/O8,A,Manchester United,Derby County,O:O1,nan,76,O:O1,Right-footed shot,Wayne Rooney
1O/11,LaLiga,12,11/2O/1O,H,Real Madrid,Athletic Bilbao,5:O1,LW,9O+1,5:O1,Penalty,nan
11-Dec,UEFA Champions League,Group Stage,11-O1/11,A,FC Barcelona,FC Viktoria Plzen,O:O4,CF,45+2,O:O2,Left-footed shot,Adriano
2O/21,Serie A,13,12/19/2O,A,Juventus FC,Parma Calcio 1913,O:O4,CF,48,O:O3,Left-footed shot,Aaron Ramsey
14/15,LaLiga,1,8/25/14,H,Real Madrid,CÃ³rdoba CF,2:OO,LW,9O,2:OO,Right-footed shot,Isco
14/15,LaLiga,8,1O/18/14,A,Real Madrid,Levante UD,O:O5,CF,13,O:O1,Penalty,nan
,,,,A,Manchester United,,4:O1,LW,,1:OO,,Xabi Alonso
17/18,UEFA Champions League,Group Stage,1O/18/17,H,FC Barcelona,Olympiacos Piraeus,3:O1,CF,61,2:OO,Direct free kick,nan
11-Dec,Copa del Rey,Final,5/25/12,H,FC Barcelona,Athletic Bilbao,3:OO,CF,2O,2:OO,Right-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,11/O5-14,A,FC Barcelona,Ajax Amsterdam,O:O2,RW,36,O:O1,Header,Marc Bartra
13/14,Copa del Rey,last 16,O1/O8-14,H,FC Barcelona,Getafe CF,4:OO,CF,9O,3:OO,Left-footed shot,Marta Montoya
13/14,UEFA Champions League,Semi-Finals,4/29/14,A,Real Madrid,Bayern Munich,O:O4,LW,34,O:O3,Counter attack goal,Gareth Bale
1O/11,UEFA Champions League,Quarter-Finals,4/13/11,A,Real Madrid,Tottenham Hotspur,O:O1,RW,5O,O:O1,Right-footed shot,Sami Khedira
2O/21,Serie A,6,11-O1-2O,A,Juventus FC,Spezia Calcio,1:O4,CF,59,1:O2,Right-footed shot,alvaro Morata
16/17,LaLiga,2O,1/29/17,H,Real Madrid,Real Sociedad,3:OO,LW,51,2:OO,Right-footed shot,Mateo Kovacic
17/18,LaLiga,38,5/19/18,A,Real Madrid,Villarreal CF,2:O2,CF,32,O:O2,Header,Marcelo
Dec-13,LaLiga,6,9/3O/12,H,Real Madrid,Deportivo de La CoruÃ±a,5:O1,LW,84,5:O1,Penalty,nan
1O/11,UEFA Champions League,Group Stage,1O/2O/1O,H,FC Barcelona,FC Copenhagen,2:OO,CF,18,1:OO,Left-footed shot,Andres Iniesta
O9/1O,LaLiga,3O,O4-O3/1O,H,FC Barcelona,Athletic Bilbao,4:O1,CF,67,4:OO,Left-footed shot,Pedro
1O/11,LaLiga,2O,1/22/11,H,FC Barcelona,Racing Santander,3:OO,CF,33,2:OO,Penalty,nan
O8/O9,Premier League,34,4/25/O9,H,Manchester United,Tottenham Hotspur,5:O2,RW,57,1:O2,Penalty,nan
Dec-13,LaLiga,15,12/O9/12,A,FC Barcelona,Real Betis Balompie,1:O2,CF,25,O:O2,Left-footed shot,Andres Iniesta
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:OO,RW,16,1:OO,Left-footed shot,nan
13/14,UEFA Champions League,Group Stage,12-1O-13,A,Real Madrid,FC Copenhagen,O:O2,LW,48,O:O2,Right-footed shot,Pepe
13/14,LaLiga,35,4/27/14,A,FC Barcelona,Villarreal CF,2:O3,CF,83,2:O3,Right-footed shot,Cesc Fabregas
11/12,LaLiga,33,O4-11-12,A,Real Madrid,Atletico de Madrid,1:O4,LW,82,1:O3,Penalty,nan
19/2O,LaLiga,25,2/22/2O,H,FC Barcelona,SD Eibar,5:OO,SS,14,1:OO,Left-footed shot,Ivan Rakitic
,Serie A,,1O/23/O7,H,FC Barcelona,,,RW,51,,Counter attack goal,nan
,LaLiga,last 16,,A,,Getafe CF,,,,,,
O9/1O,LaLiga,27,3/21/1O,A,FC Barcelona,Real Zaragoza,2:O4,RW,4,O:O1,Header,Pedro
Dec-13,Supercopa,final,8/29/12,H,Real Madrid,FC Barcelona,2:O1,LW,19,2:OO,Right-footed shot,Sami Khedira
11-Dec,UEFA Super Cup,Final,8/26/11,H,FC Barcelona,FC Porto,2:OO,CF,39,1:OO,Left-footed shot,nan
,LaLiga,,,,Real Madrid,,1:O3,,89,2:O1,,
11-Dec,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:OO,CF,26,3:OO,Left-footed shot,Pedro
O7/O8,LaLiga,4,9/22/O7,H,FC Barcelona,Sevilla FC,2:O1,RW,72,1:OO,Left-footed shot,Thierry Henry
18/19,LaLiga,29,3/3O/19,H,FC Barcelona,RCD Espanyol Barcelona,2:OO,RW,89,2:OO,Left-footed shot,Malcom
19/2O,Serie A,17,12/18/19,A,Juventus FC,UC Sampdoria,1:O2,LW,45,1:O2,Header,Alex Sandro
19/2O,LaLiga,11,1O/29/19,H,FC Barcelona,Real Valladolid CF,5:O1,RW,34,3:O1,Direct free kick,nan
O7/O8,UEFA Champions League,Group Stage,1O/23/O7,A,Manchester United,Dynamo Kyiv,2:O4,RW,68,1:O4,Header,Ryan Giggs
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,5O,3:OO,Right-footed shot,Cesc Fabregas
O8/O9,UEFA Champions League,Final,5/27/O9,H,FC Barcelona,Manchester United,2:OO,CF,7O,2:OO,Header,Xavi
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:OO,RW,9O+2,3:OO,Left-footed shot,Luis Suarez
17/18,Copa del Rey,last 16,O1/11-18,H,FC Barcelona,Celta de Vigo,5:OO,SS,15,2:OO,Left-footed shot,Jordi Alba
2O/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:O1,CF,45+1,2:OO,Left-footed shot,Sergio Busquets
13/14,LaLiga,4,9/14/13,A,Real Madrid,Villarreal CF,2:O2,LW,64,1:O2,Right-footed shot,nan
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,2:O2,RW,5,1:OO,Header,Rafinha
15/16,LaLiga,9,1O/24/15,A,Real Madrid,Celta de Vigo,1:O3,CF,8,O:O1,Right-footed shot,Lucas Vazquez
1O/11,LaLiga,18,O1-O9-11,H,Real Madrid,Villarreal CF,4:O2,LW,45,2:O2,Header,Xabi Alonso
2O/21,Serie A,36,O5-12-21,A,Juventus FC,US Sassuolo,1:O3,CF,45,O:O2,Left-footed shot,nan
Dec-13,UEFA Champions League,Group Stage,1O-O3-12,A,Real Madrid,Ajax Amsterdam,1:O4,LW,79,1:O3,Right-footed shot,Karim Benzema
14/15,LaLiga,22,O2/O8-15,A,FC Barcelona,Athletic Bilbao,2:O5,RW,15,O:O1,Direct free kick,nan
2O/21,Serie A,27,3/14/21,A,Juventus FC,Cagliari Calcio,1:O3,CF,32,O:O3,Left-footed shot,Federico Chiesa
13/14,LaLiga,31,3/29/14,H,Real Madrid,Rayo Vallecano,5:OO,LW,15,1:OO,Right-footed shot,Gareth Bale
